"participant","contact","period","estcon"
80,24,"8. Lockdown 3",0.30035568
4,34,"8. Lockdown 3",1.464222154
14,34,"8. Lockdown 3",1.114269964
24,34,"8. Lockdown 3",0.366551947
34,34,"8. Lockdown 3",0.397559266
44,34,"8. Lockdown 3",0.57546388
54,34,"8. Lockdown 3",0.402171389
64,34,"8. Lockdown 3",0.341891018
80,34,"8. Lockdown 3",0.277984588
4,44,"8. Lockdown 3",0.69044556
14,44,"8. Lockdown 3",1.609628633
24,44,"8. Lockdown 3",0.895406459
34,44,"8. Lockdown 3",0.330050532
44,44,"8. Lockdown 3",0.372283447
54,44,"8. Lockdown 3",0.547398294
64,44,"8. Lockdown 3",0.469328237
80,44,"8. Lockdown 3",0.252235365
4,54,"8. Lockdown 3",0.27948356
14,54,"8. Lockdown 3",0.922750495
24,54,"8. Lockdown 3",0.643164575
34,54,"8. Lockdown 3",0.479101728
44,54,"8. Lockdown 3",0.337419816
54,54,"8. Lockdown 3",0.500376634
64,54,"8. Lockdown 3",0.639403698
80,54,"8. Lockdown 3",0.466184865
4,64,"8. Lockdown 3",0.135963411
14,64,"8. Lockdown 3",0.19322496
24,64,"8. Lockdown 3",0.111773435
34,64,"8. Lockdown 3",0.217861369
44,64,"8. Lockdown 3",0.217924311
54,64,"8. Lockdown 3",0.213613348
64,64,"8. Lockdown 3",0.370305566
80,64,"8. Lockdown 3",0.581897787
4,80,"8. Lockdown 3",0.045393437
14,80,"8. Lockdown 3",0.093211558
24,80,"8. Lockdown 3",0.047465718
34,80,"8. Lockdown 3",0.150929871
44,80,"8. Lockdown 3",0.182868378
54,80,"8. Lockdown 3",0.267881326
64,80,"8. Lockdown 3",0.277069668
80,80,"8. Lockdown 3",0.310919547
4,4,"9. Lockdown 3 + schools",1.153495346
14,4,"9. Lockdown 3 + schools",2.123795169
24,4,"9. Lockdown 3 + schools",1.075347596
34,4,"9. Lockdown 3 + schools",0.287966162
44,4,"9. Lockdown 3 + schools",0.658548602
54,4,"9. Lockdown 3 + schools",0.407186133
64,4,"9. Lockdown 3 + schools",0.163948325
80,4,"9. Lockdown 3 + schools",0.096893704
4,14,"9. Lockdown 3 + schools",1.3880323545
14,14,"9. Lockdown 3 + schools",5.1463617135
24,14,"9. Lockdown 3 + schools",2.613619464
34,14,"9. Lockdown 3 + schools",0.3465432975
44,14,"9. Lockdown 3 + schools",0.444598608
54,14,"9. Lockdown 3 + schools",0.6561830695
64,14,"9. Lockdown 3 + schools",0.412178901
80,14,"9. Lockdown 3 + schools",0.1401120325
4,24,"9. Lockdown 3 + schools",0.737138901
14,24,"9. Lockdown 3 + schools",1.418772723
24,24,"9. Lockdown 3 + schools",0.981110849
34,24,"9. Lockdown 3 + schools",0.789875367
44,24,"9. Lockdown 3 + schools",0.450139797
54,24,"9. Lockdown 3 + schools",0.500643219
64,24,"9. Lockdown 3 + schools",0.579995452
80,24,"9. Lockdown 3 + schools",0.313358543
4,34,"9. Lockdown 3 + schools",1.559750455
14,34,"9. Lockdown 3 + schools",1.591036708
24,34,"9. Lockdown 3 + schools",0.719419899
34,34,"9. Lockdown 3 + schools",0.416492157
44,34,"9. Lockdown 3 + schools",0.490201924
54,34,"9. Lockdown 3 + schools",0.491446688
64,34,"9. Lockdown 3 + schools",0.358285009
80,34,"9. Lockdown 3 + schools",0.233059832
4,44,"9. Lockdown 3 + schools",0.892735538
14,44,"9. Lockdown 3 + schools",2.233905273
24,44,"9. Lockdown 3 + schools",1.270721206
34,44,"9. Lockdown 3 + schools",0.42879559
44,44,"9. Lockdown 3 + schools",0.454924125
54,44,"9. Lockdown 3 + schools",0.692229253
64,44,"9. Lockdown 3 + schools",0.539902116
80,44,"9. Lockdown 3 + schools",0.299600883
4,54,"9. Lockdown 3 + schools",0.383227942
14,54,"9. Lockdown 3 + schools",1.533551495
24,54,"9. Lockdown 3 + schools",1.030301724
34,54,"9. Lockdown 3 + schools",0.529623074
44,54,"9. Lockdown 3 + schools",0.353599409
54,54,"9. Lockdown 3 + schools",0.575619327
64,54,"9. Lockdown 3 + schools",0.702295396
80,54,"9. Lockdown 3 + schools",0.473971444
4,64,"9. Lockdown 3 + schools",0.179906896
14,64,"9. Lockdown 3 + schools",0.41025977
24,64,"9. Lockdown 3 + schools",0.259908282
34,64,"9. Lockdown 3 + schools",0.227292926
44,64,"9. Lockdown 3 + schools",0.182705824
54,64,"9. Lockdown 3 + schools",0.253726306
